原始词语,ABCD,ABDC,ACBD,ACDB,ADBC,ADCB,BACD,BADC,BCAD,BCDA,BDAC,BDCA,CABD,CADB,CBAD,CBDA,CDAB,CDBA,DABC,DACB,DBAC,DBCA,DCAB,DCBA,COL_1,COL_2,COL_3,COL_4,COL_5,COL_6,COL_7,COL_8,COL_9,COL_10,COL_11,COL_12,COL_13,COL_14,COL_15,COL_16,COL_17,COL_18,COL_19,COL_20,COL_21,COL_22,COL_23,COL_24,COL_25,COL_26,COL_27,COL_28,COL_29,COL_30,COL_31,COL_32,COL_33,COL_34,COL_35,COL_36,COL_37,COL_38,COL_39,COL_40,COL_41,COL_42,COL_43,COL_44,COL_45,COL_46,COL_47,COL_48,COL_49,COL_50,COL_51,COL_52,COL_53,COL_54,COL_55,COL_56,COL_57,COL_58,COL_59,COL_60,COL_61,COL_62,COL_63,COL_64,COL_65,COL_66,COL_67,COL_68,COL_69,COL_70,COL_71,COL_72,COL_73,COL_74,COL_75,COL_76,COL_77,COL_78,COL_79,COL_80,COL_81,COL_82,COL_83,COL_84,COL_85,COL_86,COL_87,COL_88,COL_89,COL_90,COL_91,COL_92,COL_93,COL_94,COL_95
電光石火,電光火石,電石光火,電石火光,電火光石,電火石光,光電石火,光電火石,光石電火,光石火電,光火電石,光火石電,石電光火,石電火光,石光電火,石光火電,石火電光,石火光電,火電光石,火電石光,火光電石,火光石電,火石電光,火石光電,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
右往左往,右往往左,右左往往,右左往往,右往往左,右往左往,往右左往,往右往左,往左右往,往左往右,往往右左,往往左右,左右往往,左右往往,左往右往,左往往右,左往右往,左往往右,往右往左,往右左往,往往右左,往往左右,往左右往,往左往右,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
試行錯誤,試行誤錯,試錯行誤,試錯誤行,試誤行錯,試誤錯行,行試錯誤,行試誤錯,行錯試誤,行錯誤試,行誤試錯,行誤錯試,錯試行誤,錯試誤行,錯行試誤,錯行誤試,錯誤試行,錯誤行試,誤試行錯,誤試錯行,誤行試錯,誤行錯試,誤錯試行,誤錯行試,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一日千秋,一日秋千,一千日秋,一千秋日,一秋日千,一秋千日,日一千秋,日一秋千,日千一秋,日千秋一,日秋一千,日秋千一,千一日秋,千一秋日,千日一秋,千日秋一,千秋一日,千秋日一,秋一日千,秋一千日,秋日一千,秋日千一,秋千一日,秋千日一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明鏡止水,明鏡水止,明止鏡水,明止水鏡,明水鏡止,明水止鏡,鏡明止水,鏡明水止,鏡止明水,鏡止水明,鏡水明止,鏡水止明,止明鏡水,止明水鏡,止鏡明水,止鏡水明,止水明鏡,止水鏡明,水明鏡止,水明止鏡,水鏡明止,水鏡止明,水止明鏡,水止鏡明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不言実行,不言行実,不実言行,不実行言,不行言実,不行実言,言不実行,言不行実,言実不行,言実行不,言行不実,言行実不,実不言行,実不行言,実言不行,実言行不,実行不言,実行言不,行不言実,行不実言,行言不実,行言実不,行実不言,行実言不,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎視眈々,虎視々眈,虎眈視々,虎眈々視,虎々視眈,虎々眈視,視虎眈々,視虎々眈,視眈虎々,視眈々虎,視々虎眈,視々眈虎,眈虎視々,眈虎々視,眈視虎々,眈視々虎,眈々虎視,眈々視虎,々虎視眈,々虎眈視,々視虎眈,々視眈虎,々眈虎視,々眈視虎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
悪戦苦闘,悪戦闘苦,悪苦戦闘,悪苦闘戦,悪闘戦苦,悪闘苦戦,戦悪苦闘,戦悪闘苦,戦苦悪闘,戦苦闘悪,戦闘悪苦,戦闘苦悪,苦悪戦闘,苦悪闘戦,苦戦悪闘,苦戦闘悪,苦闘悪戦,苦闘戦悪,闘悪戦苦,闘悪苦戦,闘戦悪苦,闘戦苦悪,闘苦悪戦,闘苦戦悪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同工異曲,同工曲異,同異工曲,同異曲工,同曲工異,同曲異工,工同異曲,工同曲異,工異同曲,工異曲同,工曲同異,工曲異同,異同工曲,異同曲工,異工同曲,異工曲同,異曲同工,異曲工同,曲同工異,曲同異工,曲工同異,曲工異同,曲異同工,曲異工同,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一石二鳥,一石鳥二,一二石鳥,一二鳥石,一鳥石二,一鳥二石,石一二鳥,石一鳥二,石二一鳥,石二鳥一,石鳥一二,石鳥二一,二一石鳥,二一鳥石,二石一鳥,二石鳥一,二鳥一石,二鳥石一,鳥一石二,鳥一二石,鳥石一二,鳥石二一,鳥二一石,鳥二石一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晴耕雨読,晴耕読雨,晴雨耕読,晴雨読耕,晴読耕雨,晴読雨耕,耕晴雨読,耕晴読雨,耕雨晴読,耕雨読晴,耕読晴雨,耕読雨晴,雨晴耕読,雨晴読耕,雨耕晴読,雨耕読晴,雨読晴耕,雨読耕晴,読晴耕雨,読晴雨耕,読耕晴雨,読耕雨晴,読雨晴耕,読雨耕晴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
面目躍如,面目如躍,面躍目如,面躍如目,面如目躍,面如躍目,目面躍如,目面如躍,目躍面如,目躍如面,目如面躍,目如躍面,躍面目如,躍面如目,躍目面如,躍目如面,躍如面目,躍如目面,如面目躍,如面躍目,如目面躍,如目躍面,如躍面目,如躍目面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
栄枯盛衰,栄枯衰盛,栄盛枯衰,栄盛衰枯,栄衰枯盛,栄衰盛枯,枯栄盛衰,枯栄衰盛,枯盛栄衰,枯盛衰栄,枯衰栄盛,枯衰盛栄,盛栄枯衰,盛栄衰枯,盛枯栄衰,盛枯衰栄,盛衰栄枯,盛衰枯栄,衰栄枯盛,衰栄盛枯,衰枯栄盛,衰枯盛栄,衰盛栄枯,衰盛枯栄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自画自賛,自画賛自,自自画賛,自自賛画,自賛画自,自賛自画,画自自賛,画自賛自,画自自賛,画自賛自,画賛自自,画賛自自,自自画賛,自自賛画,自画自賛,自画賛自,自賛自画,自賛画自,賛自画自,賛自自画,賛画自自,賛画自自,賛自自画,賛自画自,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
空前絶後,空前後絶,空絶前後,空絶後前,空後前絶,空後絶前,前空絶後,前空後絶,前絶空後,前絶後空,前後空絶,前後絶空,絶空前後,絶空後前,絶前空後,絶前後空,絶後空前,絶後前空,後空前絶,後空絶前,後前空絶,後前絶空,後絶空前,後絶前空,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手練手管,手練管手,手手練管,手手管練,手管練手,手管手練,練手手管,練手管手,練手手管,練手管手,練管手手,練管手手,手手練管,手手管練,手練手管,手練管手,手管手練,手管練手,管手練手,管手手練,管練手手,管練手手,管手手練,管手練手,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八方美人,八方人美,八美方人,八美人方,八人方美,八人美方,方八美人,方八人美,方美八人,方美人八,方人八美,方人美八,美八方人,美八人方,美方八人,美方人八,美人八方,美人方八,人八方美,人八美方,人方八美,人方美八,人美八方,人美方八,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堅忍不抜,堅忍抜不,堅不忍抜,堅不抜忍,堅抜忍不,堅抜不忍,忍堅不抜,忍堅抜不,忍不堅抜,忍不抜堅,忍抜堅不,忍抜不堅,不堅忍抜,不堅抜忍,不忍堅抜,不忍抜堅,不抜堅忍,不抜忍堅,抜堅忍不,抜堅不忍,抜忍堅不,抜忍不堅,抜不堅忍,抜不忍堅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一網打尽,一網尽打,一打網尽,一打尽網,一尽網打,一尽打網,網一打尽,網一尽打,網打一尽,網打尽一,網尽一打,網尽打一,打一網尽,打一尽網,打網一尽,打網尽一,打尽一網,打尽網一,尽一網打,尽一打網,尽網一打,尽網打一,尽打一網,尽打網一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
疾風迅雷,疾風雷迅,疾迅風雷,疾迅雷風,疾雷風迅,疾雷迅風,風疾迅雷,風疾雷迅,風迅疾雷,風迅雷疾,風雷疾迅,風雷迅疾,迅疾風雷,迅疾雷風,迅風疾雷,迅風雷疾,迅雷疾風,迅雷風疾,雷疾風迅,雷疾迅風,雷風疾迅,雷風迅疾,雷迅疾風,雷迅風疾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喜怒哀楽,喜怒楽哀,喜哀怒楽,喜哀楽怒,喜楽怒哀,喜楽哀怒,怒喜哀楽,怒喜楽哀,怒哀喜楽,怒哀楽喜,怒楽喜哀,怒楽哀喜,哀喜怒楽,哀喜楽怒,哀怒喜楽,哀怒楽喜,哀楽喜怒,哀楽怒喜,楽喜怒哀,楽喜哀怒,楽怒喜哀,楽怒哀喜,楽哀喜怒,楽哀怒喜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
満身創痍,満身痍創,満創身痍,満創痍身,満痍身創,満痍創身,身満創痍,身満痍創,身創満痍,身創痍満,身痍満創,身痍創満,創満身痍,創満痍身,創身満痍,創身痍満,創痍満身,創痍身満,痍満身創,痍満創身,痍身満創,痍身創満,痍創満身,痍創身満,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波乱万丈,波乱丈万,波万乱丈,波万丈乱,波丈乱万,波丈万乱,乱波万丈,乱波丈万,乱万波丈,乱万丈波,乱丈波万,乱丈万波,万波乱丈,万波丈乱,万乱波丈,万乱丈波,万丈波乱,万丈乱波,丈波乱万,丈波万乱,丈乱波万,丈乱万波,丈万波乱,丈万乱波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
和洋折衷,和洋衷折,和折洋衷,和折衷洋,和衷洋折,和衷折洋,洋和折衷,洋和衷折,洋折和衷,洋折衷和,洋衷和折,洋衷折和,折和洋衷,折和衷洋,折洋和衷,折洋衷和,折衷和洋,折衷洋和,衷和洋折,衷和折洋,衷洋和折,衷洋折和,衷折和洋,衷折洋和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百発百中,百発中百,百百発中,百百中発,百中発百,百中百発,発百百中,発百中百,発百百中,発百中百,発中百百,発中百百,百百発中,百百中発,百発百中,百発中百,百中百発,百中発百,中百発百,中百百発,中発百百,中発百百,中百百発,中百発百,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
粒粒辛苦,粒粒苦辛,粒辛粒苦,粒辛苦粒,粒苦粒辛,粒苦辛粒,粒粒辛苦,粒粒苦辛,粒辛粒苦,粒辛苦粒,粒苦粒辛,粒苦辛粒,辛粒粒苦,辛粒苦粒,辛粒粒苦,辛粒苦粒,辛苦粒粒,辛苦粒粒,苦粒粒辛,苦粒辛粒,苦粒粒辛,苦粒辛粒,苦辛粒粒,苦辛粒粒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一喜一憂,一喜憂一,一一喜憂,一一憂喜,一憂喜一,一憂一喜,喜一一憂,喜一憂一,喜一一憂,喜一憂一,喜憂一一,喜憂一一,一一喜憂,一一憂喜,一喜一憂,一喜憂一,一憂一喜,一憂喜一,憂一喜一,憂一一喜,憂喜一一,憂喜一一,憂一一喜,憂一喜一,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文武両道,文武道両,文両武道,文両道武,文道武両,文道両武,武文両道,武文道両,武両文道,武両道文,武道文両,武道両文,両文武道,両文道武,両武文道,両武道文,両道文武,両道武文,道文武両,道文両武,道武文両,道武両文,道両文武,道両武文,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老若男女,老若女男,老男若女,老男女若,老女若男,老女男若,若老男女,若老女男,若男老女,若男女老,若女老男,若女男老,男老若女,男老女若,男若老女,男若女老,男女老若,男女若老,女老若男,女老男若,女若老男,女若男老,女男老若,女男若老,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公私混同,公私同混,公混私同,公混同私,公同私混,公同混私,私公混同,私公同混,私混公同,私混同公,私同公混,私同混公,混公私同,混公同私,混私公同,混私同公,混同公私,混同私公,同公私混,同公混私,同私公混,同私混公,同混公私,同混私公,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美辞麗句,美辞句麗,美麗辞句,美麗句辞,美句辞麗,美句麗辞,辞美麗句,辞美句麗,辞麗美句,辞麗句美,辞句美麗,辞句麗美,麗美辞句,麗美句辞,麗辞美句,麗辞句美,麗句美辞,麗句辞美,句美辞麗,句美麗辞,句辞美麗,句辞麗美,句麗美辞,句麗辞美,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深謀遠慮,深謀慮遠,深遠謀慮,深遠慮謀,深慮謀遠,深慮遠謀,謀深遠慮,謀深慮遠,謀遠深慮,謀遠慮深,謀慮深遠,謀慮遠深,遠深謀慮,遠深慮謀,遠謀深慮,遠謀慮深,遠慮深謀,遠慮謀深,慮深謀遠,慮深遠謀,慮謀深遠,慮謀遠深,慮遠深謀,慮遠謀深,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
異口同音,異口音同,異同口音,異同音口,異音口同,異音同口,口異同音,口異音同,口同異音,口同音異,口音異同,口音同異,同異口音,同異音口,同口異音,同口音異,同音異口,同音口異,音異口同,音異同口,音口異同,音口同異,音同異口,音同口異,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
臨機応変,臨機変応,臨応機変,臨応変機,臨変機応,臨変応機,機臨応変,機臨変応,機応臨変,機応変臨,機変臨応,機変応臨,応臨機変,応臨変機,応機臨変,応機変臨,応変臨機,応変機臨,変臨機応,変臨応機,変機臨応,変機応臨,変応臨機,変応機臨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
馬耳東風,馬耳風東,馬東耳風,馬東風耳,馬風耳東,馬風東耳,耳馬東風,耳馬風東,耳東馬風,耳東風馬,耳風馬東,耳風東馬,東馬耳風,東馬風耳,東耳馬風,東耳風馬,東風馬耳,東風耳馬,風馬耳東,風馬東耳,風耳馬東,風耳東馬,風東馬耳,風東耳馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
諸行無常,諸行常無,諸無行常,諸無常行,諸常行無,諸常無行,行諸無常,行諸常無,行無諸常,行無常諸,行常諸無,行常無諸,無諸行常,無諸常行,無行諸常,無行常諸,無常諸行,無常行諸,常諸行無,常諸無行,常行諸無,常行無諸,常無諸行,常無行諸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
前途洋洋,前途洋洋,前洋途洋,前洋洋途,前洋途洋,前洋洋途,途前洋洋,途前洋洋,途洋前洋,途洋洋前,途洋前洋,途洋洋前,洋前途洋,洋前洋途,洋途前洋,洋途洋前,洋洋前途,洋洋途前,洋前途洋,洋前洋途,洋途前洋,洋途洋前,洋洋前途,洋洋途前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
急転直下,急転下直,急直転下,急直下転,急下転直,急下直転,転急直下,転急下直,転直急下,転直下急,転下急直,転下直急,直急転下,直急下転,直転急下,直転下急,直下急転,直下転急,下急転直,下急直転,下転急直,下転直急,下直急転,下直転急,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
旭日昇天,旭日天昇,旭昇日天,旭昇天日,旭天日昇,旭天昇日,日旭昇天,日旭天昇,日昇旭天,日昇天旭,日天旭昇,日天昇旭,昇旭日天,昇旭天日,昇日旭天,昇日天旭,昇天旭日,昇天日旭,天旭日昇,天旭昇日,天日旭昇,天日昇旭,天昇旭日,天昇日旭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安居楽業,安居業楽,安楽居業,安楽業居,安業居楽,安業楽居,居安楽業,居安業楽,居楽安業,居楽業安,居業安楽,居業楽安,楽安居業,楽安業居,楽居安業,楽居業安,楽業安居,楽業居安,業安居楽,業安楽居,業居安楽,業居楽安,業楽安居,業楽居安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
意気消沈,意気沈消,意消気沈,意消沈気,意沈気消,意沈消気,気意消沈,気意沈消,気消意沈,気消沈意,気沈意消,気沈消意,消意気沈,消意沈気,消気意沈,消気沈意,消沈意気,消沈気意,沈意気消,沈意消気,沈気意消,沈気消意,沈消意気,沈消気意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
